# differential_pressure(bar),sensor_voltage(mV),operational_hours(hrs),vibration_amplitude(mm/s_rms)
1.688073,1.000000,200.000000,2.309259
2.015406,1.058824,240.336134,2.393209
1.541341,1.117647,280.672269,2.365013
1.847857,1.176471,321.008403,2.468191
1.880770,1.235294,361.344538,2.274427
1.848933,1.294118,401.680672,2.240530
2.353662,1.352941,442.016807,2.343444
2.411813,1.411765,482.352941,2.536463
2.313645,1.470588,522.689076,2.419610
2.220940,1.529412,563.025210,2.315525
2.112104,1.588235,603.361345,2.342196
2.190273,1.647059,643.697479,2.469772
2.297919,1.705882,684.033613,3.060695
2.321536,1.764706,724.369748,2.363027
2.633670,1.823529,764.705882,2.901207
2.418809,1.882353,805.042017,2.516405
2.977500,1.941176,845.378151,2.765388
2.645782,2.000000,885.714286,2.861313
2.320441,2.058824,926.050420,2.745586
2.924662,2.117647,966.386555,3.055214
2.696489,2.176471,1006.722689,2.900948
3.068470,2.235294,1047.058824,3.235430
3.164232,2.294118,1087.394958,3.118287
3.585998,2.352941,1127.731092,2.714850
3.547417,2.411765,1168.067227,3.579841
3.072662,2.470588,1208.403361,2.872955
2.853562,2.529412,1248.739496,3.537413
3.454133,2.588235,1289.075630,3.266966
3.192326,2.647059,1329.411765,3.354555
3.814153,2.705882,1369.747899,3.672804
3.774772,2.764706,1410.084034,3.564578
3.861053,2.823529,1450.420168,3.390243
3.763183,2.882353,1490.756303,3.381291
3.612925,2.941176,1531.092437,3.569700
3.818914,3.000000,1571.428571,3.236974
4.048822,3.058824,1611.764706,3.442440
4.078966,3.117647,1652.100840,4.192389
4.090582,3.176471,1692.436975,4.143343
3.974743,3.235294,1732.773109,4.085644
4.227782,3.294118,1773.109244,4.609275
4.215710,3.352941,1813.445378,3.746510
4.029717,3.411765,1853.781513,3.852194
4.256761,3.470588,1894.117647,4.128193
4.237915,3.529412,1934.453782,4.061730
4.287404,3.588235,1974.789916,4.541190
4.549889,3.647059,2015.126050,3.942678
4.340606,3.705882,2055.462185,4.718250
4.812973,3.764706,2095.798319,4.498003
4.597599,3.823529,2136.134454,4.668363
4.669510,3.882353,2176.470588,4.538529
4.730228,3.941176,2216.806723,4.781662
4.934495,4.000000,2257.142857,5.117145
4.795385,4.058824,2297.478992,5.697251
5.154469,4.117647,2337.815126,4.172519
5.043375,4.176471,2378.151261,5.631110
4.982269,4.235294,2418.487395,5.035374
5.187050,4.294118,2458.823529,5.153050
5.423156,4.352941,2499.159664,5.427312
5.486722,4.411765,2539.495798,5.154052
5.395689,4.470588,2579.831933,4.833752
5.724795,4.529412,2620.168067,5.941400
5.660637,4.588235,2660.504202,4.896534
6.064518,4.647059,2700.840336,5.724901
6.063332,4.705882,2741.176471,5.174051
5.416196,4.764706,2781.512605,5.617046
6.191871,4.823529,2821.848739,6.045543
5.808136,4.882353,2862.184874,5.336210
6.506048,4.941176,2902.521008,5.581351
6.255738,5.000000,2942.857143,5.368976
6.403331,5.058824,2983.193277,5.952487
6.050579,5.117647,3023.529412,5.924705
6.498361,5.176471,3063.865546,5.598072
6.841080,5.235294,3104.201681,5.735819
6.495150,5.294118,3144.537815,6.118311
6.744859,5.352941,3184.873950,5.827714
7.036791,5.411765,3225.210084,6.128769
7.249969,5.470588,3265.546218,6.994006
7.106951,5.529412,3305.882353,6.191707
7.154670,5.588235,3346.218487,6.925431
7.413476,5.647059,3386.554622,6.468605
7.755693,5.705882,3426.890756,7.330379
6.922281,5.764706,3467.226891,6.892356
7.603408,5.823529,3507.563025,6.542240
7.429246,5.882353,3547.899160,6.992022
7.789465,5.941176,3588.235294,7.192313
7.966312,6.000000,3628.571429,7.405434
7.841017,6.058824,3668.907563,6.933613
8.310689,6.117647,3709.243697,8.410331
7.805202,6.176471,3749.579832,7.597905
7.822065,6.235294,3789.915966,7.468865
8.337325,6.294118,3830.252101,7.758562
8.272474,6.352941,3870.588235,8.788326
8.074011,6.411765,3910.924370,8.618641
8.526268,6.470588,3951.260504,8.160319
8.333030,6.529412,3991.596639,8.030000
8.702677,6.588235,4031.932773,9.542909
8.701889,6.647059,4072.268908,7.959460
8.897497,6.705882,4112.605042,8.882816
8.819594,6.764706,4152.941176,8.713084
8.896629,6.823529,4193.277311,9.184427
9.312166,6.882353,4233.613445,8.953709
9.429692,6.941176,4273.949580,9.216155
9.329394,7.000000,4314.285714,9.225270
9.223278,7.058824,4354.621849,9.379323
9.391538,7.117647,4394.957983,10.427056
9.741865,7.176471,4435.294118,9.963142
10.125417,7.235294,4475.630252,8.654258
9.789141,7.294118,4515.966387,8.829678
9.923088,7.352941,4556.302521,10.074152
9.544518,7.411765,4596.638655,11.170200
9.942045,7.470588,4636.974790,10.468327
9.931314,7.529412,4677.310924,11.558491
10.527894,7.588235,4717.647059,11.850004
10.307124,7.647059,4757.983193,12.035929
10.387977,7.705882,4798.319328,11.451477
10.899989,7.764706,4838.655462,11.653174
10.331035,7.823529,4878.991597,10.627043
11.053220,7.882353,4919.327731,14.560955
10.962171,7.941176,4959.663866,12.105740
10.560683,8.000000,5000.000000,11.407423
